Trajectories
100
,,mechanicle_knee:thigh1,,,mechanicle_knee:thigh2,,,mechanicle_knee:thigh3,,,mechanicle_knee:thigh4,,,mechanicle_knee:thigh5,,,mechanicle_knee:shank1,,,mechanicle_knee:shank2,,,mechanicle_knee:shank3,,,mechanicle_knee:shank4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
50,0,83.0974,100.047,130.456,24.9635,61.6227,130.04,98.5699,26.6575,128.967,59.6164,9.38319,129.184,11.9058,179.295,143.551,-27.6902,298.784,146.528,-83.3788,268.081,146.262,0.517203,258.502,145.824,-42.9047,210.893,145.059
51,0,83.1178,100.184,130.335,24.9561,61.6261,130.021,98.5586,26.6439,128.933,59.5976,9.38702,129.171,11.8993,179.282,143.541,-27.6756,298.774,146.489,-83.3676,268.09,146.215,0.486046,258.514,145.748,-42.8909,210.903,145.025
52,0,83.1013,100.138,130.376,24.9428,61.6273,130.012,98.5449,26.6459,128.924,59.5744,9.39501,129.167,11.9069,179.286,143.523,-27.6838,298.778,146.449,-83.3754,268.108,146.197,0.493671,258.544,145.753,-42.8989,210.913,145.006
53,0,83.0218,100.077,130.4,24.9155,61.6324,130.036,98.5237,26.6459,128.965,59.5624,9.39874,129.19,11.8944,179.299,143.56,-27.6866,298.801,146.472,-83.3843,268.13,146.2,0.467223,258.533,145.737,-42.92,210.923,145.027
54,0,83.0818,100.142,130.412,24.8961,61.6355,130.066,98.4858,26.6432,128.992,59.5213,9.39926,129.22,11.8669,179.296,143.572,-27.6794,298.814,146.494,-83.3808,268.152,146.224,0.488498,258.565,145.782,-42.9315,210.938,145.048
55,0,83.0379,100.029,130.469,24.8993,61.6224,130.086,98.4977,26.6412,129.004,59.5394,9.39211,129.232,11.8831,179.318,143.559,-27.6432,298.818,146.488,-83.3552,268.164,146.236,0.546342,258.527,145.807,-42.9077,210.945,145.056
56,0,83.0935,100.179,130.35,24.9261,61.6238,130.064,98.5295,26.6307,128.977,59.5545,9.38501,129.219,11.8973,179.299,143.573,-27.6006,298.81,146.478,-83.3093,268.162,146.214,0.544094,258.529,145.75,-42.8766,210.949,145.036
57,0,83.1199,100.137,130.373,24.9472,61.6142,130.044,98.5529,26.6182,128.941,59.5921,9.38198,129.196,11.9105,179.281,143.546,-27.546,298.795,146.467,-83.2592,268.169,146.207,0.598203,258.53,145.758,-42.8475,210.946,145.033
58,0,83.1288,100.114,130.378,24.9704,61.609,130.025,98.573,26.619,128.924,59.61,9.36603,129.165,11.9599,179.287,143.546,-27.51,298.801,146.47,-83.2306,268.175,146.202,0.610534,258.507,145.734,-42.8216,210.948,145.023
59,0,83.1026,100.052,130.425,24.9578,61.6122,130.035,98.5535,26.6223,128.939,59.5992,9.38284,129.18,11.94,179.31,143.499,-27.4905,298.805,146.495,-83.2236,268.206,146.229,0.635605,258.534,145.781,-42.8241,210.968,145.042
